Timestamp,What is your age ?,What is are you currently studying ?,What is your average attendance ?,What was your average percentage/CGPA in the last exam ?,How many hour do study on an average day ?, Have you failed any subject in the last academic year ?  ,How interested are you in your current course ?  ,Do financial difficulties affect your education ?  ,How far is your school/college from your home ?  ,Do you have reliable internet access for your studies ?  ,"On average, how many hours do you spend on social media each day ?  ",Which of the following affects your studies the most ?  ,Have you ever missed classes for more than one week continuously ?  ,Have you ever thought about taking a break from your education because of personal or academic difficulties ?  ,What kind of support would help you continue your education ?  
06/07/2026 19:01:46,15 - 17,Intermediate,75 - 90%,75 - 89%,1–2 hours,No,3,3,More than 10 km,Sometimes,3–4 hours,"Lack of motivation, Transportation issues",No,Never,"Better transportation, Better internet access"
06/07/2026 19:02:21,15 - 17,High School,Above 90%,Above 90%,Less than 1 hour,Yes,4,4,5–10 km,Sometimes,1–2 hours,Financial problems,Yes,Never,Financial assistance
06/07/2026 19:02:58,15 - 17,Intermediate,75 - 90%,75 - 89%,3–4 hours,No,3,3,More than 10 km,No,3–4 hours,Family responsibilities,No,Rarely,Academic tutoring
06/07/2026 19:03:57,above 20,Undergraduate,50 - 74%,60 - 74%,Less than 1 hour,No,3,3,More than 10 km,Sometimes,1–2 hours,"Financial problems, Family responsibilities, Health issues, Lack of motivation, Transportation issues, Academic pressure",No,Rarely,"Financial assistance, Academic tutoring, Career guidance, Mental health/counseling support, Better transportation, Better internet access"
06/07/2026 19:04:40,above 20,Undergraduate,Above 90%,Above 90%,Less than 1 hour,No,5,5,More than 10 km,No,3–4 hours,Lack of motivation,No,Sometimes,"Mental health/counseling support, Better transportation"
06/07/2026 19:05:36,18 - 20,Undergraduate,75 - 90%,75 - 89%,Less than 1 hour,No,3,3,More than 10 km,Sometimes,3–4 hours,Family responsibilities,Yes,Rarely,"Academic tutoring, Mental health/counseling support"
06/07/2026 19:06:13,15 - 17,Intermediate,75 - 90%,75 - 89%,3–4 hours,No,2,2,2–5 km,Sometimes,1–2 hours,Academic pressure,No,Never,Financial assistance
06/07/2026 19:07:26,Below 15,High School,Above 90%,Above 90%,More than 4 hours,No,5,3,2–5 km,Sometimes,More than 4 hours,"Financial problems, Family responsibilities, Lack of motivation, Transportation issues, Academic pressure",Yes,Sometimes,"Financial assistance, Academic tutoring, Career guidance, Mental health/counseling support, Better transportation"
06/07/2026 19:08:13,18 - 20,Undergraduate,50 - 74%,60 - 74%,3–4 hours,No,3,3,2–5 km,Sometimes,3–4 hours,Lack of motivation,No,Often,Career guidance
06/07/2026 19:08:48,above 20,Postgraduate,50 - 74%,60 - 74%,Less than 1 hour,No,4,4,5–10 km,Yes,3–4 hours,Health issues,Yes,Never,Career guidance
06/07/2026 19:09:26,above 20,Diploma,75 - 90%,75 - 89%,1–2 hours,No,3,3,Less than 2 km,Yes,1–2 hours,Lack of motivation,No,Rarely,Academic tutoring
06/07/2026 19:10:03,above 20,Undergraduate,Below 50%,Below 60%,More than 4 hours,No,3,2,More than 10 km,No,3–4 hours,"Financial problems, Lack of motivation, Transportation issues",No,Sometimes,"Financial assistance, Mental health/counseling support, Better transportation"
06/07/2026 19:10:38,above 20,Undergraduate,50 - 74%,60 - 74%,3–4 hours,Yes,3,1,More than 10 km,Sometimes,3–4 hours,"Family responsibilities, Health issues",No,Rarely,"Career guidance, Mental health/counseling support"
06/07/2026 19:11:11,15 - 17,Intermediate,75 - 90%,75 - 89%,1–2 hours,No,3,3,More than 10 km,No,3–4 hours,Transportation issues,No,Rarely,"Mental health/counseling support, Better transportation"
06/07/2026 19:11:42,above 20,Undergraduate,50 - 74%,60 - 74%,3–4 hours,No,4,3,Less than 2 km,Sometimes,1–2 hours,Academic pressure,No,Never,Other
06/07/2026 19:12:23,above 20,Postgraduate,50 - 74%,60 - 74%,Less than 1 hour,Yes,4,4,Less than 2 km,Yes,1–2 hours,Financial problems,No,Often,"Financial assistance, Academic tutoring"
06/07/2026 19:12:57,18 - 20,Diploma,75 - 90%,75 - 89%,1–2 hours,No,2,2,More than 10 km,No,More than 4 hours,"Financial problems, Academic pressure",No,Rarely,"Financial assistance, Better transportation"
06/07/2026 19:13:30,above 20,Undergraduate,50 - 74%,Below 60%,3–4 hours,No,4,1,More than 10 km,No,3–4 hours,Transportation issues,No,Often,Better internet access
06/07/2026 19:14:08,15 - 17,Intermediate,75 - 90%,75 - 89%,Less than 1 hour,Yes,1,3,Less than 2 km,Yes,1–2 hours,Health issues,No,Rarely,"Career guidance, Mental health/counseling support"
06/07/2026 19:14:51,18 - 20,Undergraduate,50 - 74%,75 - 89%,1–2 hours,No,2,3,2–5 km,No,1–2 hours,Lack of motivation,No,Sometimes,Better transportation
06/07/2026 19:15:38,above 20,Postgraduate,Below 50%,Below 60%,Less than 1 hour,Yes,1,5,More than 10 km,Sometimes,More than 4 hours,"Family responsibilities, Lack of motivation",Yes,Rarely,"Academic tutoring, Mental health/counseling support"
06/07/2026 19:16:37,18 - 20,Diploma,50 - 74%,75 - 89%,3–4 hours,No,3,2,2–5 km,No,1–2 hours,Family responsibilities,No,Often,Financial assistance
06/07/2026 19:17:17,above 20,Undergraduate,Above 90%,Above 90%,Less than 1 hour,Yes,2,1,Less than 2 km,Sometimes,Less than 1 hour,"Financial problems, Family responsibilities, Academic pressure",No,Sometimes,"Financial assistance, Academic tutoring, Mental health/counseling support"
06/07/2026 19:18:00,18 - 20,Undergraduate,50 - 74%,60 - 74%,More than 4 hours,No,2,4,5–10 km,Sometimes,1–2 hours,Lack of motivation,No,Never,Mental health/counseling support
06/07/2026 19:18:39,15 - 17,Intermediate,75 - 90%,75 - 89%,1–2 hours,Yes,4,4,Less than 2 km,Yes,Less than 1 hour,"Family responsibilities, Health issues",No,Rarely,"Financial assistance, Academic tutoring"
06/07/2026 19:19:19,Below 15,High School,Above 90%,Above 90%,More than 4 hours,Yes,5,5,Less than 2 km,Yes,Less than 1 hour,None,No,Never,Other
06/07/2026 19:19:51,18 - 20,Undergraduate,50 - 74%,60 - 74%,3–4 hours,Yes,3,2,More than 10 km,Yes,Less than 1 hour,Health issues,No,Rarely,Academic tutoring
06/07/2026 19:21:06,above 20,Postgraduate,Below 50%,75 - 89%,3–4 hours,No,4,3,Less than 2 km,Yes,3–4 hours,Transportation issues,No,Often,Mental health/counseling support
06/07/2026 19:21:39,above 20,Undergraduate,Above 90%,Above 90%,More than 4 hours,Yes,4,2,Less than 2 km,No,More than 4 hours,Family responsibilities,No,Rarely,Academic tutoring
06/07/2026 19:22:14,18 - 20,Diploma,50 - 74%,60 - 74%,3–4 hours,No,3,3,5–10 km,Sometimes,3–4 hours,"Financial problems, Family responsibilities",Yes,Rarely,"Academic tutoring, Career guidance, Mental health/counseling support"
06/07/2026 19:22:57,Below 15,High School,Above 90%,Above 90%,Less than 1 hour,Yes,1,2,2–5 km,Sometimes,1–2 hours,Health issues,No,Sometimes,Mental health/counseling support
06/07/2026 19:23:33,above 20,Undergraduate,75 - 90%,60 - 74%,3–4 hours,Yes,2,4,5–10 km,Sometimes,1–2 hours,Lack of motivation,No,Rarely,"Academic tutoring, Mental health/counseling support"
06/07/2026 19:24:05,15 - 17,Intermediate,75 - 90%,75 - 89%,1–2 hours,Yes,3,3,Less than 2 km,Sometimes,3–4 hours,Lack of motivation,No,Rarely,Academic tutoring
06/07/2026 19:24:39,above 20,Postgraduate,Above 90%,Above 90%,1–2 hours,No,4,3,2–5 km,Sometimes,1–2 hours,Health issues,No,Sometimes,Mental health/counseling support
